RoleTitle,Company,LocationState,LocationCity,LocationZipCode,LocationArea,MinimumSalary,MaximumSalary,SalaryTimeUnits,ShortDescription,HasExpressApply,IsSponsored,IndeedJobListingURL,ExperienceLevel,JobType,ResponsiveEmployer,JobID,ClassifiedJobRoles,FullDescription,GenBulletPoints,GoodToHaveBulletPoints,RequiredBulletPoints,HasBulletPoints,genSkills,GoodToHaveAssociatedSkills,RequiredAssociatedSkills,ApplicationURL,LastUpdated
Jr. Support Analyst,Catapult,WA,Redmond,N/A,N/A,N/A,N/A,N/A,"ResponsibilitiesWorksas a team member to assist with operations support.Troubleshootand resolve a wide variety of break-fix issues or tasks including OS,…",Easily apply,N/A,https://www.indeed.com//company/Catapult/jobs/Junior-Support-Analyst-38b5cbea1527d1c7?fccid=f84f475848eeb047&vjs=3,Entry Level,Contract,N/A,p_38b5cbea1527d1c7,Analyst,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>18 month contract role</p><p>ResponsibilitiesWorksas a team member to assist with operations support.Troubleshootand resolve a wide variety of break-fix issues or tasks including OS, WindowsUpdate, Windows firewall, BIOS, and software issues.Toolsand MonitoringSQL(Basic Understanding)IISLoadBalancingVirtualizationExternalFile TransferFileShare ManagementStorageand SAN Fabric AdministrationBackupManagementAzure– Basic Dev and Prod needsOccasionalassistance with rack/stack/cable in the data center</p><p>Edit Responsibilities</p><p>External Job Description</p><ul><li>Works as a team member to assist with operations support.</li><li>Troubleshoot and resolve a wide variety of break-fix issues or tasks including OS, Windows Update, Windows firewall, BIOS, and software issues.</li><li>Tools and Monitoring</li><li>SQL (Basic Understanding)</li><li>IIS</li><li>Load Balancing</li><li>Virtualization</li><li>External File Transfer</li><li>File Share Management</li><li>Storage and SAN Fabric Administration</li><li>Backup Management</li><li>Azure – Basic Dev and Prod needs</li><li>Occasional assistance with rack/stack/cable in the data center</li></ul><p>Qualifications &amp; Skills</p><ul><li>0.6-3 years of work-related experience</li><li>Knowledge and experience with core Microsoft infrastructure (Active Directory, Group Policy, Windows, IIS, DHCP, WDS, WSUS, Hyper-V, Azure, DFS)</li><li>Excellent communication and customer service skills</li><li>Able to work independently.</li><li>Excellent problem resolution and analytical skills</li><li>Ability to learn quickly in fast-paced environment</li></ul><p>Pluses</p><ul><li>Experience with PowerShell</li></ul><p>Job Type: Contract</p><p>Experience:</p><ul><li>desktop support: 2 years (Required)</li><li>SQL: 1 year (Required)</li><li>Microsoft infrastructure: 2 years (Required)</li><li>Active Directory: 2 years (Required)</li></ul><p>Location:</p><ul><li>Redmond, WA (Required)</li></ul><p>Work authorization:</p><ul><li>United States (Required)</li></ul><p>Full Time Opportunity:</p><ul><li>Yes</li></ul></div>","['<ul><li>0.6-3 years of work-related experience</li><li>Knowledge and experience with core Microsoft infrastructure (Active Directory, Group Policy, Windows, IIS, DHCP, WDS, WSUS, Hyper-V, Azure, DFS)</li><li>Excellent communication and customer service skills</li><li>Able to work independently.</li><li>Excellent problem resolution and analytical skills</li><li>Ability to learn quickly in fast-paced environment</li></ul>', '<ul><li>desktop support: 2 years (Required)</li><li>SQL: 1 year (Required)</li><li>Microsoft infrastructure: 2 years (Required)</li><li>Active Directory: 2 years (Required)</li></ul>']",N/A,"['<ul><li>Works as a team member to assist with operations support.</li><li>Troubleshoot and resolve a wide variety of break-fix issues or tasks including OS, Windows Update, Windows firewall, BIOS, and software issues.</li><li>Tools and Monitoring</li><li>SQL (Basic Understanding)</li><li>IIS</li><li>Load Balancing</li><li>Virtualization</li><li>External File Transfer</li><li>File Share Management</li><li>Storage and SAN Fabric Administration</li><li>Backup Management</li><li>Azure – Basic Dev and Prod needs</li><li>Occasional assistance with rack/stack/cable in the data center</li></ul>']",True,"['Azure', 'Communication', 'Customer', 'Directory', 'Experience', 'Iis', 'Infrastructure', 'Microsoft', 'Problem', 'Service', 'Windows', 'Sql', 'Support']",N/A,"['Basic', 'Data', 'File', 'Software', 'Stack', 'Support', 'Team', 'Tools', 'Windows']",N/A,2019-09-10 20:44:46.634225
Content Moderator & Customer Support Specialist,The Allen Institute for Artificial Intelligence,WA,Seattle,N/A,(Green Lake - Wallingford area),N/A,N/A,N/A,Content Moderator & Customer Support Specialist (Contractor). The Allen Institute of Artificial Intelligence (AI2) is looking for a talented Content Moderator &…,Easy apply,N/A,https://www.indeed.com//rc/clk?jk=1eff97a68d9c4b11&fccid=6c9f4bfc97542d3e&vjs=3,Entry Level,Contract,N/A,p_1eff97a68d9c4b11,IT,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">****************************************************************
<br/>Content Moderator &amp; Customer Support Specialist (Contractor)
<br/>****************************************************************
<br/><br/>
<b>Who You Are:</b><br/>
The Allen Institute of Artificial Intelligence (AI2) is looking for a talented Content Moderator &amp; Customer Support Specialist on a part-time contract basis (up to 30 hours/week) to work alongside our customer support team to support the growth and evolution of our academic search engine; Semantic Scholar.
<br/><br/>
<b>Your Next Challenge:</b><br/>
Since its launch in November 2015, Semantic Scholar has indexed and learned from over 175 million research papers in thousands of journals and conferences. As a Content Moderator and Customer Support Specialist for Semantic Scholar, you will help us resolve support issues and moderate our content including user suggestions. We are passionate about customer support and want to make sure we are providing a pleasant, professional, and above all human experience for people who have questions or concerns about our site. In this role you will not only help our users be successful, but you will also get a chance to work alongside a team of researchers and engineers who are working to create cutting-edge AI to advance academic search and discovery.
<br/><br/>
<ul>
<li>Use tools to moderate and fix data quality issues with content on our site including author profiles, paper metadata and supplemental content.</li>
<li>Assist our customer support team with customer support emails on an as-needed basis.</li>
</ul>
<b>What You'll Need:</b><br/>
<ul>
<li>Experience in a customer-facing role and strong written communication skills.</li>
<li>Experience with technology like basic command line interfaces and Google Docs.</li>
<li>Detail-oriented and passionate about helping users be successful.</li>
<li>Organized and an efficient self-starter.</li>
<li>BA in Communications or a related field (academic research experience a plus) or actively enrolled in a continuing education degree program.</li>
<li>Available to work up to 30 hours/week as needed on a flexible schedule.</li>
</ul>
<b>Who We Are:</b><br/>
The Allen Institute for Artificial Intelligence is a non-profit research institute in Seattle founded by Paul Allen and headed by Professor Oren Etzioni. The core mission of AI2 is to contribute to humanity through high-impact research in artificial intelligence.
<br/><br/>
In addition to AI2's core mission, we also aim to contribute to humanity through our treatment of each member of the AI2 Team. Some highlights are:
<br/><br/>
<ul>
<li>We are a learning organization – because everything AI2 does is ground-breaking, we are learning every day. Similarly, through weekly AI2 Academy lectures, a wide variety of world-class AI experts as guest speakers, and our commitment to your personal on-going education, AI2 is place where you will have opportunities to continue learning alongside your coworkers.</li>
<li>We value diversity - We seek to hire, support, and promote people from all genders, ethnicities, and all levels of experience regardless of age. We particularly encourage applications from women, non-binary individuals, people of color, members of the LGBTQA+ community, and people with disabilities of any kind.</li>
<li>We value inclusion - We understand the value that people's individual experiences and perspectives can bring to an organization, and we are building a culture in which all voices are heard, respected and considered.</li>
<li>We emphasize a healthy work/life balance – we believe our team members are happiest and most productive when their work/life balance is optimized. While we value powerful research results which drive our mission forward, we also value dinner with family, weekend time, and vacation time. We offer generous paid vacation and sick leave as well as family leave.</li>
<li>We are collaborative and transparent – we consider ourselves a team, all moving with a common purpose. We are quick to cheer our successes, and even quicker to share and jointly problem solve our failures.</li>
<li>We are in Seattle – and our office is on the water! We have mountains, we have lakes, we have four seasons, we bike to work, we have a vibrant theater scene, and we have so much else. We even have kayaks for you to paddle right outside our front door. We welcome interest from applicants from outside of the United States.</li>
<li>We are friendly– chances are you will like every one of the 100+ (and growing) people who work here. We do.</li>
</ul>
AI2 is proud to be an Equal Opportunity employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.
<br/><br/>
If you need assistance or an accommodation due to a disability, you may contact us at hr@allenai.org or you may call us at 206-548-5600.</div>",N/A,N/A,N/A,False,"['Applications', 'Artificial', 'Basic', 'Class', 'Communication', 'Communications', 'Customer', 'Data', 'Experience', 'Human', 'Intelligence', 'Learning', 'Office', 'Problem', 'Research', 'Search', 'Support', 'Team', 'Technology', 'Time', 'Tools', 'User']",N/A,N/A,N/A,2019-09-10 20:44:48.668178
Computer Science Tutor,ACES,WA,Seattle,N/A,(Westlake area),$40 ,$50 ,Hourly,"America China Exchange Society is a full-service educational institution headquartered in Beijing, China that currently operates chiefly out of Seattle,…",Express apply,N/A,https://www.indeed.com//company/ACES/jobs/Computer-Science-Tutor-e8fb8f0205d9aabf?fccid=dfa4210d7261c0da&vjs=3,Entry Level,Contract,N/A,p_e8fb8f0205d9aabf,Software Engineer,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>America China Exchange Society is a full-service educational institution headquartered in Beijing, China that currently operates chiefly out of Seattle, Washington. For over a decade, we have served our students in the Seattle area by providing a vast range of services. From the acquisition of a student visa through their graduation with an AA, we are there every step of the way to aid foreign students in achieving their dream of studying at a prestigious American university.</p><p>We are seeking a College-Level Computer Science Tutor to help our college-aged clients to excel academically. You will provide non-classroom instruction to students on an individual basis at the Edmonds Community College. The courses that will be tutored are as follows:</p><p><b>CS 102</b>, <b>CS 114</b>, <b>CS 115</b>, <b>CS 115</b>, <b>CS 141</b>, <b>CS 131. </b></p><p><i>For more information about these specific courses, please refer to: https://www.edcc.edu/programs/stem/cs/course-descriptions.html</i></p><p>*Workload will be roughly 6 hours per week.</p><p><i>Seasoned educators receive high degree of independence. Ability to customize your lessons.</i></p><ul><li>Manage and educate students in a non-classroom setting</li><li>Design and implement lesson plans at varying academic levels</li><li>Establish academic goals and milestones with students</li><li>Document and communicate progress reports</li><li>Provide constructive feedback for students</li></ul><p>REQUIRED:</p><ul><li>Bachelor's Degree (or fluency) in Computer Science.</li><li>Previous experience in teaching, tutoring, or other related fields</li><li>Ability to build rapport with students</li><li>Excellent knowledge of college-level CS</li><li>Excellent written and verbal communication skills</li><li>Private transportation and functioning smartphone &amp; laptop</li><li>Computer processing skills</li><li><b>Considerations: </b></li><li>TEFL (Teach English as Foreign Language) certification or Master's Degree in equivalent field</li><li>Experience living/working abroad</li><li>Ability to teach other subjects, including (but not limited to) advanced mathematics, biology, chemistry, computer science, business, psychology, etc.</li></ul><p><b>To be considered, please include a short cover letter and resume.</b></p><p>Job Types: Part-time, Contract</p><p>Salary: $40.00 to $50.00 /hour</p><p>Experience:</p><ul><li>relevant: 1 year (Preferred)</li></ul><p>Education:</p><ul><li>Bachelor's (Required)</li></ul><p>Contract Length:</p><ul><li>Varies</li></ul><p>Full Time Opportunity:</p><ul><li>No</li></ul><p>Work Location:</p><ul><li>One location</li></ul></div>",['<ul><li>relevant: 1 year (Preferred)</li></ul>'],N/A,N/A,True,N/A,N/A,N/A,N/A,2019-09-10 20:44:50.579441
Epic Willow/Beacon Analyst,Huntzinger Management Group,WA,Seattle,N/A,N/A,N/A,N/A,N/A,"Huntzinger, recognized as one of the fastest growing healthcare consulting companies in the nation, demonstrates a unique philosophy and approach to managing…",Express apply,N/A,https://www.indeed.com//company/Huntzinger-Management-Group/jobs/Epic-Willow-Beacon-Analyst-26b00d79ae07e750?fccid=7e8333ecbbbb25b8&vjs=3,Entry Level,Contract,N/A,p_26b00d79ae07e750,Analyst,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>Huntzinger, recognized as one of the fastest growing healthcare consulting companies in the nation, demonstrates a unique philosophy and approach to managing our projects, creating both an immediate and sustained impact. We attribute our success to the commitment we make to our clients and their objectives as well as our consultants and their future.</p><p>Huntzinger is currently seeking a traveling Epic Willow/Beacon Analyst.</p><p>Start Date: Immediately</p><p>Duration: 6 months</p><p>Location: UW Medicine, Seattle, WA</p><p>Travel: Onsite every Monday – Thursday; remote every Friday</p><p>Required Qualifications / Duties:</p><ul><li>Epic Willow and Beacon inpatient certification required</li><li>Beacon Willow Inpatient workflow and build experience</li><li>Protocol building experience</li><li>Required PharmD</li><li>Ability to jump start</li><li>Solid communication and documentation skills</li><li>Strong ability to multitask</li></ul><p>Must have a valid driver’s license and carry the minimum level of insurance required by Huntzinger.</p><p>*** NO AGENCIES PLEASE</p><p>Huntzinger is an Affirmative Action / Equal Employment Opportunity employer. We will not discriminate against employees or applicants for employment on any legally-recognized basis including, but not limited to: veteran status, uniform service member status, race, color, religion, sex, national origin, age, physical or mental disability or any other protected class under federal, state, or local law.</p><p>Job Type: Contract</p><p>Experience:</p><ul><li>relevant: 1 year (Preferred)</li></ul></div>",['<ul><li>relevant: 1 year (Preferred)</li></ul>'],N/A,['<ul><li>Epic Willow and Beacon inpatient certification required</li><li>Beacon Willow Inpatient workflow and build experience</li><li>Protocol building experience</li><li>Required PharmD</li><li>Ability to jump start</li><li>Solid communication and documentation skills</li><li>Strong ability to multitask</li></ul>'],True,N/A,N/A,"['Build', 'Communication', 'Documentation']",N/A,2019-09-10 20:44:52.439442
Technical Support,colossal systems,WA,Bellevue,N/A,N/A,$20 ,$45 ,Hourly,Should be independent in handling tasks. Good knowledge on Azure Cloud Services. Good knowledge in PowerShell scripting.,Easily apply,N/A,https://www.indeed.com//company/colossal-systems/jobs/Technical-Support-37b68248ada01ae4?fccid=3116d144ab2c48d6&vjs=3,Entry Level,Contract,N/A,p_37b68248ada01ae4,IT,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p><b>Job Summary</b><br/>Strong troubleshooting skills<br/>Should be independent in handling tasks<br/>Good knowledge on Azure Cloud Services<br/>Good knowledge in PowerShell scripting<br/>Should be able to understand and write C#.NET code<br/>Able to write basic queries in SQL Server<br/>Excellent communication and problem solving skills</p><p>Job Type: Contract</p><p>Salary: $20.00 to $45.00 /hour</p><p>Experience:</p><ul><li>Technical Support: 1 year (Required)</li><li>help desk: 1 year (Required)</li><li>cloud: 2 years (Required)</li></ul><p>Education:</p><ul><li>Bachelor's (Preferred)</li></ul></div>",['<ul><li>Technical Support: 1 year (Required)</li><li>help desk: 1 year (Required)</li><li>cloud: 2 years (Required)</li></ul>'],N/A,N/A,True,"['Cloud', 'Support', 'Technical']",N/A,N/A,N/A,2019-09-09 20:44:54.358404
SmarTeam Technical Support Consultant,Razorleaf,WA,Seattle,N/A,N/A,N/A,N/A,N/A,Provide support to Razorleaf SmarTeam clients – interacting with customers at all levels from basic users to system administrators.,Express apply,N/A,https://www.indeed.com//company/Razorleaf-Corporation/jobs/Smarteam-Technical-Support-Consultant-9b7075f495caac6a?fccid=8727329bdd31ae4b&vjs=3,Entry Level,Contract,N/A,p_9b7075f495caac6a,IT,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p><b>SmarTeam Technical Support Consultant</b></p><p>Razorleaf is looking for a Technical SupportConsultant for SmarTeam.</p><p>Locationcan be anywhere in the USA. Our consultants work from a home office and travelas needed.</p><p>Travel: This position requires very little travel 10% or less is expected.</p><p>Ideally we are seeking a 1099 independent contractor for this work.</p><p>A bit of information about us: Razorleaf has been in business since 2000.We area PLM Consulting company, specializing in providing PLM services. We work withtechnologies such as Dassault's 3DEXPERIENCE (formerly Enovia), Aras PLM, InforPLM, and Autodesk Vault and Fusion Lifecycle.</p><p>Clienttrust is critical to our success. Internally, we are a strong team and leverageeach other’s strengths. We value our team, everyone here matters and theircontribution makes a difference. We treat our outside contractors as a valuedmember of our team.</p><p>This positionwill:</p><ul><li>Provide support to Razorleaf SmarTeam clients – interacting with customers at all levels from basic users to system administrators. These clients will have a range of technical acumen and abilities.</li><li>Investigate, diagnose and troubleshoot issues around SmarTeam performance or user errors</li><li>Contribute to the company’s knowledge base.</li><li>Assist clients in data migrations from SmarTeam to other systems</li><li>Perform small SmarTeam upgrades</li></ul><p>Toperform well in this role you should have one or more of the following:</p><ul><li>Knowledge of SmarTeam – configuration and/or administration experience in SmarTeam</li><li>Experience performing data migrations from SmarTeam into other PDM, PLM, ERP software systems</li><li>Experience upgrading SmarTeam from one version to a more recent version.</li><li>Experience in MySQL, SQL, and basic scripting (not extensive programming).</li></ul><p>Job Type: Contract</p><p>Work Location:</p><ul><li>Fully Remote</li></ul><p>Schedule::</p><ul><li>Monday to Friday</li></ul></div>","['<ul><li>Provide support to Razorleaf SmarTeam clients – interacting with customers at all levels from basic users to system administrators. These clients will have a range of technical acumen and abilities.</li><li>Investigate, diagnose and troubleshoot issues around SmarTeam performance or user errors</li><li>Contribute to the company’s knowledge base.</li><li>Assist clients in data migrations from SmarTeam to other systems</li><li>Perform small SmarTeam upgrades</li></ul>']",N/A,N/A,True,"['Basic', 'Data', 'Performance', 'Support', 'Technical', 'User']",N/A,N/A,N/A,2019-09-07 20:44:56.300088
AWS Custom Billing Analyst,"Amazon Web Services, Inc.",WA,Seattle,N/A,N/A,N/A,N/A,N/A,"2+ years of relevant professional experience. Bachelor’s degree required, preferably in business, accounting, or a related field.",N/A,N/A,https://www.indeed.com//rc/clk?jk=91c8f66444069f47&fccid=fe2d21eef233e94a&vjs=3,Entry Level,Contract,N/A,p_91c8f66444069f47,Analyst,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><ul><li>2+ years of relevant professional experience</li><li>1+ years Excel experience</li><li>Bachelor’s degree required, preferably in business, accounting, or a related field</li></ul>
<br/>
<div>For more than 12 years, Amazon Web Services (“AWS”) has been the world’s most comprehensive and broadly adopted cloud platform. AWS offers over 100 fully featured services to millions of active customers around the world—including the fastest-growing startups, largest enterprises, and leading government agencies—to power their infrastructure. Custom Billing Solutions is a diverse team within AWS Commerce Platform that supports infrastructure and other foundational initiatives for the most complex pricing agreements.<br/>
AWS Custom Billing Solutions is in need of a creative, dynamic and results driven analyst to help us support discount programs and private pricing contracts. We're looking for a motivated self-starter who's passionate about managing operational processes, strict adherence to terms outlined in customer contracts and supporting both internal and external customers.<br/>
<br/>
Key Responsibilities:<br/>
<ul><li>Retrieve and analyze data using Excel, Salesforce.com, and other data management/BI systems</li><li>Proactively identify and implement operational improvements, enhancements, and system customization that meet business requirements.</li><li>Hands on data mining and analysis to execute on projects</li><li>Perform data entry and review entries by other analysts, provide data management, and pricing calculations</li><li>Support weekly, monthly and quarterly reporting</li><li>Interpret complex pricing contracts and determine pricing structure to be applied for a defined term</li><li>Monthly reconciliation and communication with Sales, Finance, Customer Support and Accounting teams</li><li>Perform as a subject matter expert and provide mentoring guidance</li></ul></div>
<br/>
<div><ul><li>Accounting experience with accruals and receivables</li><li>Experience with financial contracts and comfortable with contractual language</li><li>Strong attention to detail and excellent problem solving skills</li><li>Ability to communicate effectively across all functions and levels of the organization</li><li>Track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects</li><li>Strong quantitative, analytical and organizational skills</li><li>Highly organized, have multi-tasking skills, and efficient in ambiguous situations</li><li>Intermediate Excel skills</li><li>Meets/exceeds Amazon’s leadership principles requirements for this role</li><li>Meets/exceeds Amazon’s functional/technical depth and complexity for this role</li></ul><br/>
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation / Age</div></div>",N/A,N/A,N/A,False,"['Accounting', 'Amazon', 'Analysis', 'Aws', 'Cloud', 'Communication', 'Complex', 'Creative', 'Customer', 'Data', 'Dynamic', 'Excel', 'Experience', 'Infrastructure', 'Management', 'Mining', 'Problem', 'Quantitative', 'Services', 'Solving', 'Support', 'Team', 'Technical', 'Web']",N/A,N/A,https://www.indeed.com/rc/clk?jk=91c8f66444069f47&from=vj&pos=bottom,2019-09-07 20:44:58.427802
Marketing Designer - Video and Content - 4-6+ month contract,Ripl,WA,Bellevue,N/A,(Downtown area),N/A,N/A,N/A,Marketing Designer –Video and Content - 4 - 6+ month contract. Ripl (www.Ripl.com ( http://www.ripl.com/ )) is passionate about helping small businesses grow by…,Express apply,N/A,https://www.indeed.com//rc/clk?jk=2a53d1e89af5b3cf&fccid=eb6ad9fb9534846d&vjs=3,Entry Level,Contract,N/A,p_2a53d1e89af5b3cf,Web Developer,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText"">Marketing Designer –Video and Content - 4 - 6+ month contract
<br/><br/>
Ripl (www.Ripl.com ( http://www.ripl.com/ )) is passionate about helping small businesses grow by leveraging the magic of digital media marketing. A self-starter with demonstrated fluency in visual storytelling, our Marketing Designer will be key in capturing customer imagination, driving engagement and inspiring action through multiple channels. Our customers are the small business owner, solopreneur, nonprofit organizer, and independent contractors who are passionate about the work they do. Creating new ways and channels to present visual art that communicates brand and product values, our Marketing Designer will have a mighty voice on this small team, driving action and loyalty across all touchpoints.
<br/><br/>
This role might be for you if
<br/><br/>
You are motivated by ownership of a wide range of projects – from simple emails to trend-setting videos. You quickly synthesize information and are proud of your ability to work masterfully with various design tools in a range of formats and mediums. You love to experiment - pushing multiple ads out, based on a variety of concepts - quickly discerning what resonates with the market, and continuing to iterate on that while thinking of what the next home run will look like. You love feedback, yet can push back with what you know to be true for best practices. Being mindful of the visual brand, you will be thrilled to help lead the team in upleveling design across the board.
<br/><br/>
Your track record clearly demonstrates passion for creativity and design, coupled with an understanding of the business needs to produce and quickly iterate for superb performance. You find equal pleasure in high-level thinking and, rolling up your sleeves to attend to the smallest of details.
<br/><br/>
A Day in the Life
<br/><br/>
<ul>
<li>On any given day, you will be wearing your strategic campaign hat, creating concepts and stories to pitch to the team for ads on Facebook, Instagram and Google, while looking for new potential channels as social media trends change</li>
<li>Driving multiple projects at varying stages, you may find yourself working on visual storytelling through CRM emails, landing pages, upsell content, new FB ads, and new ways to present the Ripl story and value propositions through video</li>
<li>Based on your deep understanding of our customer demographic and the ways of social media, you can support your concepts and lead the team to garner meaningful ideas and feedback to create the best possible work</li>
<li>Understanding the importance of all touchpoints, you collaborate with our UX/UI team members to execute on our Brand Guideline for visual expression</li>
<li>You inspire creativity in others.</li>
</ul>
Technical and Subject Matter Expertise Qualifications for this Role
<br/><br/>
<ul>
<li>Strong sense of current design trends (especially on social media) and superb track record in execution – agency or inhouse</li>
<li>A strong portfolio, showcasing high-end design skills in social media advertising, video, animation, presentations and clean design aesthetic</li>
<li>Extensive experience and successful track record of launching high performing ads on FB, Instagram, YouTube, Snapchat, and/or Google.</li>
<li>You have experience with a wide variety of ad formats including video, animation, static, stories</li>
<li>Experience creating designs for high performing email campaigns as well as highly converting landing pages</li>
<li>Thoughtful decision making - walking the tightrope between visually stunning and results-oriented</li>
<li>Superb command of tools such as Photoshop, Illustrator, Mac OSX, Adobe XD, Premiere, InDesign, Acrobat, and G SuiteIntimate knowledge of design best practices for mobile apps, social media, and web including content-first, mobile first, responsive design, and accessibility standards</li>
<li>Experience in, and a love of early stage companies and the inherent need to perform in a highly-dynamic environment</li>
<li>A Degree in Graphic Design or professional training, but most importantly, a killer portfolio</li>
</ul>
About Our Team
<br/><br/>
Ripl is a growing company preserving our startup roots as we pursue the ambitious goal of providing a leading digital marketing SaaS for small businesses and communities. We're loving, passionate and resilient. We value courage, drive, and integrity - we all have lives outside of work that matter too, but we'll go above and beyond to make Ripl great. We help every team member achieve their greatest potential and will continue to do so with every new hire. We design our company culture with intention, collaboration, experimentation, and a commitment to each other.
<br/><br/>
Join us in learning, creativity and innovation!</div>",N/A,N/A,N/A,False,"['Adobe', 'Animation', 'Crm', 'Customer', 'Deep', 'Design', 'Digital', 'Dynamic', 'Email', 'Experience', 'Facebook', 'Go', 'Http', 'Indesign', 'Information', 'Join', 'Learning', 'Media', 'Mobile', 'New', 'Performance', 'Photoshop', 'Product', 'Saas', 'Social', 'Support', 'Team', 'Technical', 'Tools', 'Training', 'Ui', 'Ux', 'Video', 'Visual', 'Web']",N/A,N/A,N/A,2019-09-07 20:45:00.303954
Freelance Publication Designer,AHA Inc,WA,Vancouver,N/A,(Carter Park area),N/A,N/A,N/A,AHA wants to connect with local Freelance Designers experienced in working with longer forms of print and digital communications.,Express apply,N/A,https://www.indeed.com//rc/clk?jk=b78b0b40e83497d8&fccid=d09e2bba94ae22d1&vjs=3,Entry Level,Contract,N/A,p_b78b0b40e83497d8,UI/UX,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><div><p><b>AHA wants to connect with local Freelance Designers</b><b> experienced in working with longer forms of print and digital communications.</b> We’re looking for people with highly developed skills in publication design -the type who could successfully develop an annual report without much supervision<b>. </b>Upcoming projects will need Designers who are open to working on-site with our team and can commit to 10–30 hours of work weekly.</p>
<p><b>
You</b>: excel at visual design, are highly organized, your indesign files are known for how clean that are and you have experience working with large complex clients.</p>
<p><b>
The team: </b>is an egoless and collaborative group of creative directors, art directors, writers, designers and content managers that are devoted to doing excellent work. Check out our work at www.ahainc.com.</p>
<p><b>
AHA: </b>a purpose-driven, woman-owned agency that collaborates daily with leading companies. Our office is just on the Washington side of the Columbia River, with killer views. You’ll find great beer, four ways to make coffee and nice people.</p>
<p><b>
What you should do: </b>If you are versatile, set the bar high and play well with others, we want to hear from you. Please submit a cover letter, résumé and a link to an online portfolio.</p></div></div>",N/A,N/A,N/A,False,"['Communications', 'Complex', 'Creative', 'Design', 'Digital', 'Excel', 'Experience', 'Forms', 'Indesign', 'Office', 'Team', 'Visual']",N/A,N/A,N/A,2019-09-06 20:45:02.217292
Data Entry Clerk,People Direct,WA,Seattle,N/A,(Wedgwood area),$15.76,N/A,Hourly,The National Oceanic and Atmospheric Administration (NOAA) is currently seeking a Clerk II to assist with the Defense Enrollment Eligibility Reporting System…,Easy apply,N/A,https://www.indeed.com//company/People-Direct/jobs/Data-Entry-Clerk-d408317e44d790c3?fccid=ebbeacf019c9243e&vjs=3,Entry Level,Contract,N/A,p_d408317e44d790c3,Data Scientist,"<div class=""jobsearch-jobDescriptionText"" id=""jobDescriptionText""><p>The National Oceanic and Atmospheric Administration (NOAA) is currently seeking a Clerk II to assist with the Defense Enrollment Eligibility Reporting System and provide consultative and advisory support services.</p><p>JOB DESCRIPTION</p><ul><li>Serve as verifying official to the DEERS/RAPIDS system which includes managing users, security, cardstock, and consumables, managing report data and site information, verifying data, entering data, and issuing ID cards.</li><li>The VO Issues credentials on the form of ID cards to the Uniformed Service Members, their dependents, and other beneficiaries. Issue CAC cards to Federal civilians contractors and affiliates who are authorized.</li><li>Verify and correct civilian records in RADIPS and DEERS</li><li>Prepare reports for NOAA and DOC management</li><li>Ensures NOAA Applicant data is properly entered into the DOC Security Database</li><li>Fingerprint applicants as necessary to enable completion of background investigation required for NOAA/DOD credentialing</li><li>Travel to other NOAA locations</li><li>Perform other duties as required to assist with NOAA WRC PASS and ID office functions in support of NOAA mission as time allows</li></ul><p>REQUIREMENTS</p><ul><li>High school graduate or GED required</li><li>Two years of professional administrative support experience</li><li>One year of identification badge control experience strongly preferred</li></ul><p>**********************MUST BE ABLE TO INTERVIEW TODAY 8/29 AFTER 3PM AT THE FOLLOWING LOCATION:</p><p>7600 SAND POINT WAY NE<br/>SEATTLE, WA 98115</p><p>For any inquiries please submit your resume or call Jacquelyne at 858-578-7351.</p><p>ASK ABOUT OUR SIGN ON BONUS!!!!</p><p>Job Types: Full-time, Contract</p><p>Salary: $15.76 /hour</p><p>Experience:</p><ul><li>relevant: 1 year (Preferred)</li></ul><p>Education:</p><ul><li>High school or equivalent (Preferred)</li></ul></div>",['<ul><li>relevant: 1 year (Preferred)</li></ul>'],N/A,N/A,True,N/A,N/A,N/A,N/A,2019-08-29 20:45:04.089543
