RoleTitle,Company,LocationState,LocationCity,LocationZipCode,LocationArea,MinimumSalary,MaximumSalary,SalaryTimeUnits,ShortDescription,HasExpressApply,IsSponsored,IndeedJobListingURL,ExperienceLevel,JobType,ResponsiveEmployer,JobID
Machine Operator – Packaging Technician,navaPouch,WA,Kirkland,N/A,(Highlands area),"$60,000 ",N/A,Yearly,"Responsible for set-up, operation and mechanical maintenance of assigned packaging machines. Assists in setting up equipment line for production runs.",Apply instantly,Sponsored,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0B7zLqGG6gfRDKbmJaBSGKNDTUHyb3IjY7_E1CXHNuZy3SINNspTDQDqxtABUxlcTMCyb8mFIsRgWlZlS9xeoddQClLgXluM0FifoxstaVTUgume8qn2RrsmnKZcbTr52WMa0Z4uoEguUADCOcwzcfWwCZoPWzo_ga_e_QcZRjNjf1lBQw1R2ikKZ65LVQqZk9zf5u10TkYOhfBDpdq3xDqUCI3vrBy3Y65ywxAc148RApVSFqRzdi9NWfp7EqAZDqTvAi9EDOdSKs1Qh7tvrjRjhC9vTWgYa2RtNzFaSBybL4-CR9LbNnUwupYyPFg9cX2GQZ6ISs0YLOTMfOMCdtjh-Sxysskm8avSQINVhwjKfJMsx6rg7Mt2X3N91rJ-1FW3mwEVTRZ4XP91ItvJAATDI7d9FD3Kv6guL2ZI6AFSYqB739IJIrzUw7F38i4N7E=&p=0&fvj=1&vjs=3,Entry Level,Contract,N/A,pj_54985a1f69a35a95
Office Coordinator/Administrative Assistant,Rylem,WA,Seattle,98104,N/A,N/A,N/A,N/A,Facilities and IT co-ordination Primary contact for all facility related issues. Responsible for all office supplies purchasing.,Apply instantly,Sponsored,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0BohoAsRhlBGqNCA6PnW7qf_GZlFxUxnh11xSBXOSb1-8ILFGjcMt-xzYddU62k_LX-a0LKbLxghEzMfaJCauK-iuB6zSHWOEVbxQY-W2ROCpEUC8oymDYuZ5ry8NIxi0FPXTDounfJ7d0cSP1g1udDadKjKyBVTyAbeg7EYoNCFxJAeWsyuvL_wPu3IjUhnLdJw6v7yw4umqfCutuRnaWg_4DyuQUVV6ZilR8Ih5skytDHDqMyBGhG_Ra4WvokCrROk7MMAJw7TD1fKnXN6CFXpH2OtBXhIqxsetI3SKf6qaqm8tPG4fud0DrbCem-IK4elrLJEQHmdc7f1pwKmWI7EZj_BT7b7f1YdLNvr0N6MPgwpafWy45kK7_0spn24Cq1OpGUrfaZm_d-ypQEXxS3U7texw22vZOSMcs5wFjcEfhtu915IATGi1TM7KwsERXklBbuX_ulVA==&p=1&fvj=1&vjs=3,Entry Level,Contract,N/A,pj_7298436f6c8259a6
Office Assistant,Parker Staffing,WA,Seattle,N/A,N/A,$20 ,$22.50,Hourly,"Manage space reservations via hoteling software system for workspaces and conference rooms. Manage and maintain inventory of kitchen and office supplies,…",Apply instantly,N/A,https://www.indeed.com//company/Parker-Staffing-Services/jobs/Office-Assistant-cd11a01ba1bc01c4?fccid=18fd7c5f2036fb84&vjs=3,Entry Level,Contract,N/A,p_cd11a01ba1bc01c4
Machine Operator – Packaging Technician,navaPouch,WA,Kirkland,N/A,(Highlands area),"$60,000 ",N/A,Yearly,"Responsible for set-up, operation and mechanical maintenance of assigned packaging machines. Assists in setting up equipment line for production runs.",Apply instantly,N/A,https://www.indeed.com//company/navaPouch/jobs/Machine-Operator-Packaging-Technician-54985a1f69a35a95?fccid=78ac8a8c0024f5ee&vjs=3,Entry Level,Contract,N/A,p_54985a1f69a35a95
Professional Playset and Outdoor Structure Assemblers Needed,The Assembly Authority,WA,Seattle,N/A,N/A,N/A,N/A,N/A,Partner with the Assembly Authority. Must be customer focusedand motivated to delivering an exceptional customer experience*.,Apply instantly,N/A,https://www.indeed.com//company/The-Assembly-Authority/jobs/Professional-Playset-Outdoor-Structure-Assembler-cb741931cc56d6ed?fccid=dd873e0ad4e61dfa&vjs=3,Entry Level,Contract,N/A,p_cb741931cc56d6ed
"Dispatch Specialist - Sumner, WA",Maersk,WA,Sumner,N/A,N/A,N/A,N/A,N/A,"Our warehouse network spans from East to West Coasts of the United States and in Canada. Our services include transloading and automated sortation, cross…",N/A,N/A,https://www.indeed.com//rc/clk?jk=75d847489d0def7c&fccid=3521671704e2c973&vjs=3,Entry Level,Contract,N/A,p_75d847489d0def7c
Piercer Wanted - Not Your Typical Shop,BodyMods,WA,Bellingham,N/A,N/A,"$30,000 ","$80,000 ",Yearly,Our online booking system is one of the top online platforms for managing your appointments and clients. It also sends out reminders of upcoming appointments…,Apply instantly,N/A,https://www.indeed.com//company/BodyMods/jobs/Piercer-ab22b5b2fb5223cf?fccid=57ce2ce689dc3a07&vjs=3,Entry Level,Contract,N/A,p_ab22b5b2fb5223cf
Receptionist,Parker Staffing,",",Mercer,WA,N/A,$18 ,$19 ,Hourly,Buzz in students and guest into the secure facility. Monitory office supplies and order when needed. 2+ years of Receptionist experience required.,Apply instantly,N/A,https://www.indeed.com//company/Parker-Staffing-Services/jobs/Receptionist-1a3e732768763bd5?fccid=18fd7c5f2036fb84&vjs=3,Entry Level,Contract,N/A,p_1a3e732768763bd5
Contract Administrator,US Department of Defense,WA,Tukwila,N/A,N/A,"$81,283 ","$105,672 ",Yearly,Serve as Contract Administrator assigned to a contract team responsible for the administration of government contracts for one or more contractors.,N/A,N/A,https://www.indeed.com//rc/clk?jk=1735754bc28b53d6&fccid=ca509b164585637a&vjs=3,Entry Level,Contract,N/A,p_1735754bc28b53d6
Mortgage Services Assistant,Parker Staffing,WA,Kent,N/A,N/A,$21 ,$24 ,Hourly,"Is responsible for loan quality and compliance review, including processing and closing tasks related to regulatory, quality and saleability functions in…",Apply instantly,N/A,https://www.indeed.com//company/Parker-Staffing-Services/jobs/Mortgage-Service-Assistant-9a8c92765ce08957?fccid=18fd7c5f2036fb84&vjs=3,Entry Level,Contract,N/A,p_9a8c92765ce08957
