RoleTitle,Company,LocationState,LocationCity,LocationZipCode,LocationArea,MinimumSalary,MaximumSalary,SalaryTimeUnits,ShortDescription,HasExpressApply,IsSponsored,IndeedJobListingURL,ExperienceLevel,JobType,ResponsiveEmployer,JobID
"仓库打单,发货,包装,库存盘点工人",Yita LLC,WA,Kent,98032,N/A,$12 ,$15 ,Hourly,"基本职能和主要职责: 1. 从库存中取出和打包产品并准备运输; 2. 扫描并记录序列号,包含完整的运单,贴纸以及装运清单上的所有物品。 3. 使用UPS / FedEx创建货运标签 4. 根据需要进行盘点 5. 报告任何库存差异 6. 遵循质量服务标准并遵守程序,规则和法规 7. 需要时可以调岗到…",Apply instantly,N/A,https://www.indeed.com//company/Yita-LLC/jobs/%E4%BB%93%E5%BA%93%E6%89%93%E5%8D%95-a3b78271d1150994?fccid=7a4c1f7dd2e9ee9a&vjs=3,Entry Level,Internship,N/A,p_a3b78271d1150994
Marketing Intern,The Sleep Store,WA,Bellevue,N/A,(Lake Hills area),N/A,N/A,N/A,The Sleep Store is a locally-owned holistic mattress and bedding store ready to bring its marketing into the digital age. We don’t require any education.,Apply instantly,N/A,https://www.indeed.com//company/Symphysis-Marketing-Solutions-LLC/jobs/Marketing-Intern-9438de8adf569993?fccid=6b6204f80be796a6&vjs=3,Entry Level,Internship,N/A,p_9438de8adf569993
Data Technician Internship - Seattle,Transpo Group,WA,Kirkland,98034,N/A,N/A,N/A,N/A,"We are seeking temporary traffic data collection field technicians primarily for an assignment located in Seattle, WA. A reliable vehicle for fieldwork.",N/A,N/A,https://www.indeed.com//rc/clk?jk=37d2856ea887f90a&fccid=63ebec0c83dbd09f&vjs=3,Entry Level,Internship,N/A,p_37d2856ea887f90a
"undergraduate intern, Finance, Summer 2020 - Seattle, WA",Starbucks,WA,Seattle,N/A,N/A,N/A,N/A,N/A,"From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and its rich tradition, but that also inspired…",N/A,N/A,https://www.indeed.com//rc/clk?jk=af774f925e4a6373&fccid=a88e611ddef97571&vjs=3,Entry Level,Internship,N/A,p_af774f925e4a6373
Defense Programs Intern,"Allison Transmission, Inc.",WA,Headquarters,N/A,N/A,N/A,N/A,N/A,"For nearly 100 years, Allison Transmission has powered the vehicles and technology that move our world forward. Junior or senior at the time of the internship.",N/A,N/A,https://www.indeed.com//rc/clk?jk=7afb6ec7380478e5&fccid=19f459c21c49a5ee&vjs=3,Entry Level,Internship,N/A,p_7afb6ec7380478e5
Office Support Staff,Evolve Chiropractic Studio,WA,Seattle,N/A,(Westlake area),N/A,N/A,N/A,"Growing Chiropractic office has an opening on our office support team. Support duties include scheduling, recalls and phone interaction with patients.",Apply instantly,N/A,https://www.indeed.com//company/Evolve-Chiropractic-Studio/jobs/Office-Support-Staff-0bf6d63b2801b87b?fccid=b42dfa3e83dee4f6&vjs=3,Entry Level,Internship,N/A,p_0bf6d63b2801b87b
Non-profit - Social Media Intern,NON PROFIT ORGANIZATIONS,WA,Seattle,N/A,(Loyal Heights area),N/A,N/A,N/A,Health Resource Partners believes in empowering and strengthening local health-focused organizations within their own communities.,Apply instantly,N/A,https://www.indeed.com//company/Maha-Loka/jobs/Non-Profit-6a1510b617339b91?fccid=0d1e12c0fd881927&vjs=3,Entry Level,Internship,Responsive employer,p_6a1510b617339b91
Regulatory Compliance Intern,"Allison Transmission, Inc.",WA,Headquarters,N/A,N/A,N/A,N/A,N/A,"JOIN THE TEAM THAT’S POWERING PROGRESS. For over 100 years, Allison Transmission has powered the vehicles and technology that move our world forward.",N/A,N/A,https://www.indeed.com//rc/clk?jk=0f92fa770c967578&fccid=19f459c21c49a5ee&vjs=3,Entry Level,Internship,N/A,p_0f92fa770c967578
"Intern, Legal Management Consulting","DUFF AND PHELPS, LLC",WA,Ellensburg,N/A,N/A,N/A,N/A,N/A,"Our professionals balance analytical skills, deep market insight and independence to deliver solid, defensible analysis and practical advice to our clients.",N/A,N/A,https://www.indeed.com//rc/clk?jk=d4095ad67dbb3b63&fccid=2b6243d317042ea1&vjs=3,Entry Level,Internship,N/A,p_d4095ad67dbb3b63
Software Engineer Intern,CBRE,WA,Seattle,N/A,N/A,N/A,N/A,N/A,CBRE Build is a highly independent innovation team tasked with bolstering the strategic advantage of the world’s largest commercial real estate services company…,N/A,N/A,https://www.indeed.com//rc/clk?jk=c43c02b735e3afdb&fccid=c9b9e477b3c84b4d&vjs=3,Entry Level,Internship,N/A,p_c43c02b735e3afdb
