RoleTitle,Company,LocationState,LocationCity,LocationZipCode,LocationArea,MinimumSalary,MaximumSalary,SalaryTimeUnits,ShortDescription,HasExpressApply,IsSponsored,IndeedJobListingURL,ExperienceLevel,JobType,ResponsiveEmployer,JobID
Temp Seasonal - Clerical,City of Spokane,WA,Spokane,N/A,N/A,$16.17,$25.01,Hourly,Are you self-motivated and looking for a new way to serve the business community? The department of Taxes & Licenses at the City of Spokane is looking for…,N/A,N/A,https://www.indeed.com//rc/clk?jk=a1757551516d1876&fccid=c0695055a76415de&vjs=3,Entry Level,Temporary,N/A,p_a1757551516d1876
Fall Festival & Farm Stand Staff,Oxbow Farm & Conservation Center,WA,Carnation,98014,N/A,$12 ,$14.50,Hourly,"Ourmission is to inspire people to eat healthy, sustainably grown food and tosteward our natural resources for future generations. Able to lift 50 pounds.",Apply instantly,Sponsored,https://www.indeed.com//pagead/clk?mo=r&ad=-6NYlbfkN0DaGAEm7a-uXQO8vlf3jZXEVYbY8Bc468sGuZ67fRxq9L5Gykzwkd9Hgl2wZAUzXkQnIm_aD5Iimhlq40DxxoTWYo5wqIwkpl2ABS0b9hm9Fa1bGjqcxSTp5Tcc4bMgY-3ume68UndsR022S-bWyP5uuzWr-UbMdBZfSuE3njI7XfdVdJ2PAe2OypfxZ5FIQ3Nw-IQJoipz_2UZzQia6JX4EQYqv7TIgYfSuvZLo0zLgZJJTZOQvM2KulJsctgvWBC0mFKVRgFLreiA2RXv_QDVGkj4lVwis0q7nR-CVDnnu8YZh9OLOQ5tKAWFZXyowMb4jtWNx3PeS_uKzxgLbygyxc2YUEoiP00El7WYpKVqUk1NQwOH9dN12J9yJqxs0U0CVjYBUAMNcGiiM0hZWFy0NoCVyxavkINwEcdmgR_gRg==&p=0&fvj=1&vjs=3,Entry Level,Temporary,N/A,pj_5ac486dc637caef9
Guest Services-Plateau Club,Oki Golf,WA,Sammamish,N/A,N/A,$11.60,$16 ,Hourly,"The Plateau Club located in Sammamish, WA is looking for friendly, outgoing team members to join our guest service team! Making a positive first impression.",Apply instantly,N/A,https://www.indeed.com//rc/clk?jk=a4cbf3abaffe3165&fccid=f68d0a72760b5b7b&vjs=3,Entry Level,Temporary,N/A,p_a4cbf3abaffe3165
Food Service Worker,Pacific Crest Concessions,WA,Yakima,N/A,N/A,$11 ,$15 ,Hourly,"We are looking to hire multiple positions for our food booths are the Central Washington State Fair. We need Servers, Cooks, and Register people.",Apply instantly,N/A,https://www.indeed.com//company/Pacific-Crest-Concessions/jobs/Food-Service-Worker-0f9d3233c386f3f0?fccid=464f757eb5e54650&vjs=3,Entry Level,Temporary,N/A,p_0f9d3233c386f3f0
Greenskeeper,Oki Golf,WA,Mukilteo,N/A,N/A,N/A,N/A,N/A,We have the perfect job for you! Oki Golf is looking for hard-working team members to join their Turf Team at Harbour Pointe Golf Club!,Apply instantly,N/A,https://www.indeed.com//rc/clk?jk=b0901fb90608a32a&fccid=f68d0a72760b5b7b&vjs=3,Entry Level,Temporary,N/A,p_b0901fb90608a32a
Fall Festival & Farm Stand Staff,Oxbow Farm & Conservation Center,WA,Carnation,98014,N/A,$12 ,$14.50,Hourly,"Ourmission is to inspire people to eat healthy, sustainably grown food and tosteward our natural resources for future generations. Able to lift 50 pounds.",Apply instantly,N/A,https://www.indeed.com//company/Oxbow-Farm-and-Conservation-Center/jobs/Fall-Festival-Farm-Stand-Staff-5ac486dc637caef9?fccid=96ec2172b326c331&vjs=3,Entry Level,Temporary,N/A,p_5ac486dc637caef9
"SEASONAL- Sales Assistant, Vancouver WA",Michael Kors,WA,Vancouver,98662,N/A,N/A,N/A,N/A,"Michael Kors is always interested in hearing from talented, globally-minded individuals with a passion for fashion.",N/A,N/A,https://www.indeed.com//rc/clk?jk=fcf714e70f274c6b&fccid=927356efef1f3075&vjs=3,Entry Level,Temporary,N/A,p_fcf714e70f274c6b
Christmas Light Installer,Brooks Pro Holiday Lighting,WA,Puyallup,N/A,N/A,$15 ,N/A,Hourly,"This job will be performed rain or shine, and you must be comfortable on rooftops and ladders. Applicant must be able to lift 40-80lbs, up and down ladders.",Apply instantly,N/A,https://www.indeed.com//company/Brooks-Pro-Holiday-Lighting/jobs/Christma-Light-Installer-5b29dfe2d6589c20?fccid=173a7411b8ae332a&vjs=3,Entry Level,Temporary,N/A,p_5b29dfe2d6589c20
Restaurant Server,Oki Golf,WA,Redmond,N/A,N/A,N/A,N/A,N/A,"The Golf Club at Redmond Ridge is looking for enthusiastic, outgoing team members to join our Restaurant Team! Working in a fast pace environment.",Apply instantly,N/A,https://www.indeed.com//rc/clk?jk=440687d5e9b60b9f&fccid=f68d0a72760b5b7b&vjs=3,Entry Level,Temporary,N/A,p_440687d5e9b60b9f
Temporary/Hourly - Disability Assistant,Central Washington University,WA,Ellensburg,98926,N/A,$15 ,N/A,Hourly,"This position’s primary responsibility is to provide office support to the English Language Arts Teaching Professor and Advisor, Director of the CWU Writing…",N/A,N/A,https://www.indeed.com//rc/clk?jk=2965aaf8d9d3cde3&fccid=0084e8519f3bec35&vjs=3,Entry Level,Temporary,N/A,p_2965aaf8d9d3cde3
